team,classification,district,games_played,starting_year,starting_off,starting_def,starting_ovr,final_off,final_def,final_ovr
Ash Grove,1,3,2,2025,-7.99,-2.06,-10.05,-8.811545122656764,-5.53422686956932,-14.345771992226084
North Platte,1,5,2,2025,-2.33,-12.42,-14.75,-4.554496822506891,-9.88414326116195,-14.438640083668842
Marshall,4,5,3,2025,0.86,-6.14,-5.28,-5.853334891143763,-8.701280610716385,-14.554615501860148
East Buchanan,1,6,3,2025,-5.84,-14.87,-20.71,-4.08151181635924,-10.782318404650555,-14.863830221009795
Hazelwood Central,5,3,3,2025,-12.33,-0.68,-13.01,-12.095048210080204,-2.866602842093857,-14.961651052174062
Waynesville,6,5,3,2025,-9.01,-10.13,-19.14,-7.092939196121382,-8.31883326595102,-15.4117724620724
Parkway South,5,2,2,2025,-14.17,-5.45,-19.62,-8.483393398159572,-7.183125000748046,-15.666518398907618
Ft. Zumwalt South,5,4,3,2025,-13.99,-1.9,-15.89,-13.495492804021318,-2.1718900231940004,-15.667382827215318
Portageville,1,1,3,2025,-13.32,-8.93,-22.25,-3.9218628347751747,-11.758050046642193,-15.679912881417367
Grandview,5,7,2,2025,-17.5,-8.56,-26.05,-10.364143548217251,-5.6190824412947284,-15.983225989511979
South Harrison,1,6,3,2025,-7.0,0.63,-6.37,-12.372877854059377,-3.9261431680933465,-16.299021022152722
Lathrop,2,8,3,2025,-20.37,-8.17,-28.54,-14.907942145375866,-1.5881716962912644,-16.496113841667132
St. James,3,5,2,2025,-9.93,-3.89,-13.81,-12.173712056548544,-5.04341269732068,-17.217124753869225
Perryville,3,1,3,2025,-9.91,-6.16,-16.07,-9.59646094904187,-8.062781617121178,-17.659242566163048
Sarcoxie,2,4,2,2025,-10.91,-7.67,-18.57,-12.518009524422773,-5.269616633181113,-17.787626157603885
Adrian,1,5,3,2025,-8.03,-4.82,-12.86,-11.978419626270023,-6.921500689173108,-18.899920315443133
Strafford,3,5,3,2025,-17.54,-8.91,-26.45,-14.899594034787794,-4.1036784682311085,-19.003272503018902
