class,district,rank,team,total_points,wins,losses,games_played,games_counted_in_sos,avg_win_loss,avg_class_bonus,avg_differential,sos_term
6,2,3,De Smet Jesuit,37.3333,3,1,4,4,17.5,0.0,4.0,15.8333
6,2,4,Lafayette (Wildwood),32.8333,2,2,4,4,15.0,0.0,2.0,15.8333
6,2,5,Marquette,31.3636,2,2,4,4,15.0,0.0,0.0,16.3636
6,3,1,Pattonville,47.6667,4,0,4,4,20.0,0.0,11.0,16.6667
6,3,2,SLUH,38.0,3,1,4,4,17.5,0.0,5.5,15.0
6,3,3,Ritenour,28.2955,2,2,4,4,15.0,0.0,-1.25,14.5455
6,3,4,Hazelwood West,27.0833,2,2,4,4,15.0,0.0,-1.25,13.3333
6,3,5,Francis Howell North,12.4545,0,4,4,4,10.0,0.0,-13.0,15.4545
6,4,1,Troy Buchanan,44.0833,3,1,4,4,18.75,0.0,9.5,15.8333
6,4,2,Francis Howell,32.1667,2,2,4,4,15.0,0.0,3.0,14.1667
6,4,3,Francis Howell Central,28.8333,2,2,4,4,15.0,0.0,-0.75,14.5833
6,4,4,Liberty (Wentzville),21.75,1,3,4,4,12.5,0.0,-3.25,12.5
6,4,5,Ft. Zumwalt West,21.0,1,3,4,4,12.5,0.0,-6.5,15.0
6,5,1,Nixa,43.4167,3,1,4,4,17.5,0.0,6.75,19.1667
6,5,2,Joplin,30.5,2,2,4,4,15.0,0.0,3.0,12.5
6,5,3,Ozark,26.0,1,3,4,4,12.5,0.0,-4.0,17.5
6,5,4,Kickapoo,23.25,1,3,4,4,12.5,0.0,-4.25,15.0
6,5,5,Waynesville,12.8333,0,4,4,4,10.0,0.0,-13.0,15.8333
6,6,1,Blue Springs,43.3333,3,1,4,4,17.5,0.0,7.5,18.3333
6,6,2,Lee's Summit North,39.6136,3,1,4,4,17.5,0.0,5.75,16.3636
6,6,3,Rock Bridge,38.3333,3,1,4,4,17.5,0.0,7.5,13.3333
6,6,4,Hickman,35.1667,3,1,4,4,17.5,0.0,3.5,14.1667
6,6,5,Blue Springs South,32.5,2,2,4,4,15.0,0.0,0.0,17.5
6,6,6,Lee's Summit,29.5227,2,2,4,4,15.0,0.0,-2.75,17.2727
6,7,1,Raymore-Peculiar,44.75,4,0,4,4,20.0,0.0,8.75,16.0
6,7,2,North Kansas City,39.8333,3,1,4,4,17.5,0.0,6.5,15.8333
6,7,3,Rockhurst,34.25,2,2,4,4,15.0,0.0,0.5,18.75
6,7,4,Lee's Summit West,31.75,2,2,4,4,15.0,0.0,-0.75,17.5
6,7,5,Park Hill South,19.3333,1,3,4,4,12.5,0.0,-6.5,13.3333
6,8,1,Staley,36.0,3,1,4,4,17.5,0.0,4.5,14.0
6,8,2,Liberty North,31.5,2,2,4,4,15.0,0.0,1.5,15.0
6,8,3,Oak Park,31.0,2,2,4,4,15.0,0.0,1.0,15.0
6,8,4,Central (St. Joseph),27.75,2,2,4,4,15.0,0.0,-2.25,15.0
6,8,5,Liberty,23.25,1,3,4,4,12.5,0.0,-4.25,15.0
6,8,6,Park Hill,20.9167,1,3,4,4,12.5,0.0,-5.75,14.1667
